speed,speedForward,speedAbs,yaw,steer,surfaceMu,distToCenterline,progress,offTrack,posX,posY,heading0,heading1,heading2,curv0,curv1,curv2,ray0,ray1,ray2,ray3,ray4,ray5,ray6,ray7,ray8,ray9,ray10,ray11,ray12,ray13,ray14,ray15,ray16,ray17,ray18,ray19,ray20,ray21,ray22,ray23,ray24,ray25,ray26,ray27,ray28,ray29,ray30,ray31,targetThrottle,targetBrake,targetSteer,targetHandbrake,dt,carIndex,isAI,sourceTag
5.445143,5.445143,5.445143,-34.574787,-0.129808,1.200000,0.377485,0.375000,0,29.914465,-46.197147,-0.064040,-0.170758,-0.406488,-0.023803,-0.035699,-0.053953,0.087043,0.098641,0.164729,0.626840,0.501306,0.369376,0.232570,0.207439,0.109265,0.123824,0.206785,0.616110,0.480247,0.330467,0.208071,0.185216,0.088501,0.100293,0.167488,0.675754,0.539010,0.375767,0.236594,0.205172,0.110723,0.125476,0.209544,0.665024,0.517951,0.336858,0.212095,0.182949,0.200000,0.000000,-0.124670,0,0.016667,0,1,scripted_ai
5.447769,5.447769,5.447769,-34.579330,-0.124670,1.200000,0.414442,0.375000,0,29.823771,-46.198402,-0.061126,-0.168143,-0.404582,-0.023109,-0.035488,-0.054017,0.086949,0.098281,0.163334,0.623220,0.498809,0.370999,0.232558,0.207687,0.109171,0.123400,0.205078,0.612346,0.477590,0.331819,0.207998,0.185465,0.088609,0.100157,0.166452,0.672184,0.536456,0.377077,0.236368,0.205218,0.110831,0.125276,0.208196,0.661311,0.515236,0.337897,0.211808,0.182996,0.200000,0.000000,-0.119822,0,0.016667,0,1,scripted_ai
5.450378,5.450378,5.450378,-34.583698,-0.119822,1.200000,0.466699,0.375000,0,29.733028,-46.199242,-0.058366,-0.165697,-0.402856,-0.022451,-0.035310,-0.054104,0.086837,0.097913,0.161971,0.619520,0.496250,0.372589,0.232553,0.207958,0.109060,0.122969,0.203421,0.608507,0.474874,0.333144,0.207933,0.185735,0.088692,0.100004,0.165430,0.668534,0.533841,0.378362,0.236156,0.205293,0.110914,0.125060,0.206879,0.657521,0.512465,0.338916,0.211536,0.183071,0.200000,0.000000,-0.115231,0,0.016667,0,1,scripted_ai
5.452971,5.452971,5.452971,-34.587898,-0.115231,1.200000,0.434874,0.378125,0,29.642242,-46.199665,-0.080341,-0.197502,-0.401304,-0.025294,-0.039893,-0.054215,0.086707,0.097535,0.160637,0.615744,0.493629,0.374147,0.232553,0.208249,0.108930,0.122532,0.201807,0.604597,0.472102,0.334444,0.207876,0.186027,0.088748,0.099831,0.164418,0.664805,0.531168,0.379622,0.235956,0.205397,0.110971,0.124828,0.205588,0.653658,0.509640,0.339919,0.211279,0.183175,0.200000,0.000000,-0.110890,0,0.016667,0,1,scripted_ai
5.455549,5.455549,5.455549,-34.591942,-0.110890,1.200000,0.393097,0.378125,0,29.551413,-46.199680,-0.077904,-0.195565,-0.399914,-0.024882,-0.039866,-0.054348,0.086559,0.097146,0.159326,0.611896,0.490952,0.375676,0.232561,0.208561,0.108781,0.122087,0.200230,0.600617,0.469278,0.335722,0.207827,0.186339,0.088780,0.099639,0.163415,0.661003,0.528438,0.380861,0.235771,0.205529,0.111003,0.124580,0.204318,0.649725,0.506764,0.340907,0.211037,0.183307,0.200000,0.000000,-0.106782,0,0.016667,0,1,scripted_ai
5.458111,5.458111,5.458111,-34.595837,-0.106782,1.200000,0.369762,0.378125,0,29.460543,-46.199295,-0.075600,-0.193776,-0.398679,-0.024501,-0.039868,-0.054503,0.086392,0.096747,0.158035,0.607977,0.488220,0.377178,0.232575,0.208507,0.108614,0.121633,0.198686,0.596573,0.466403,0.336980,0.207788,0.186285,0.088787,0.099429,0.162416,0.657129,0.525656,0.382081,0.235598,0.205687,0.111009,0.124315,0.203067,0.645725,0.503840,0.341882,0.210811,0.183465,0.200000,0.000000,-0.102885,0,0.016667,0,1,scripted_ai
5.460658,5.460658,5.460658,-34.599586,-0.102885,1.200000,0.368416,0.378125,0,29.369635,-46.198513,-0.073423,-0.192131,-0.397595,-0.024151,-0.039899,-0.054681,0.086207,0.096337,0.156763,0.603990,0.485434,0.378654,0.232597,0.208089,0.108429,0.121171,0.197172,0.592463,0.463480,0.338217,0.207758,0.185867,0.088769,0.099201,0.161422,0.653185,0.522822,0.383281,0.235439,0.205872,0.110992,0.124034,0.201831,0.641658,0.500868,0.342844,0.210600,0.183650,0.200000,0.000000,-0.099207,0,0.016667,0,1,scripted_ai
5.463189,5.463189,5.463189,-34.603203,-0.099207,1.200000,0.389310,0.378125,0,29.278692,-46.197342,-0.071363,-0.190620,-0.396653,-0.023829,-0.039960,-0.054878,0.086004,0.095916,0.155505,0.599938,0.482599,0.380107,0.232627,0.207694,0.108226,0.120699,0.195685,0.588293,0.460511,0.339438,0.207737,0.185471,0.088728,0.098953,0.160429,0.649175,0.519940,0.384466,0.235294,0.206083,0.110950,0.123736,0.200609,0.637530,0.497852,0.343796,0.210404,0.183860,0.200000,0.000000,-0.095715,0,0.016667,0,1,scripted_ai
5.465705,5.465705,5.465705,-34.606693,-0.095715,1.200000,0.429222,0.378125,0,29.187716,-46.195793,-0.069415,-0.189237,-0.395845,-0.023536,-0.040048,-0.055097,0.085783,0.095483,0.154259,0.595825,0.479717,0.381540,0.232664,0.207320,0.108005,0.120218,0.194219,0.584065,0.457500,0.340643,0.207725,0.185098,0.088662,0.098687,0.159436,0.645103,0.517012,0.385637,0.235162,0.206317,0.110884,0.123422,0.199397,0.633343,0.494795,0.344740,0.210224,0.184095,0.200000,0.000000,-0.092403,0,0.016667,0,1,scripted_ai
5.468205,5.468205,5.468205,-34.610065,-0.092403,1.200000,0.471282,0.381250,0,29.096706,-46.193871,-0.067569,-0.225466,-0.361558,-0.023269,-0.045812,-0.048347,0.085544,0.095038,0.153022,0.591654,0.476791,0.382955,0.232710,0.206968,0.107767,0.119726,0.192773,0.579782,0.454448,0.341837,0.207724,0.184746,0.088574,0.098404,0.158441,0.640971,0.514042,0.386796,0.235045,0.206576,0.110796,0.123092,0.198192,0.629099,0.491698,0.345678,0.210059,0.184354,0.200000,0.000000,-0.132932,0,0.016667,0,1,scripted_ai
5.470691,5.470691,5.470691,-34.614933,-0.132932,1.200000,0.414759,0.381250,0,29.005663,-46.191566,-0.064210,-0.222952,-0.359063,-0.022465,-0.045723,-0.048306,0.085262,0.094468,0.151371,0.588151,0.474524,0.385340,0.233003,0.206660,0.107484,0.119089,0.190823,0.576117,0.451997,0.343955,0.207948,0.184438,0.088509,0.098066,0.157135,0.637525,0.511710,0.388864,0.235099,0.206852,0.110731,0.122687,0.196587,0.625491,0.489183,0.347422,0.210044,0.184630,0.200000,0.000000,-0.127423,0,0.016667,0,1,scripted_ai
5.473161,5.473161,5.473161,-34.619598,-0.127423,1.200000,0.372540,0.381250,0,28.914587,-46.188877,-0.061036,-0.220647,-0.356775,-0.021700,-0.045675,-0.048291,0.084964,0.093893,0.149760,0.584554,0.472180,0.382577,0.233296,0.206375,0.107186,0.118451,0.188930,0.572364,0.449476,0.346035,0.208175,0.184152,0.088419,0.097712,0.155851,0.633983,0.509304,0.390895,0.235163,0.207156,0.110642,0.122270,0.195021,0.621793,0.486600,0.349138,0.210042,0.184933,0.200000,0.000000,-0.122228,0,0.016667,0,1,scripted_ai
5.475616,5.475616,5.475616,-34.624073,-0.122228,1.200000,0.349882,0.381250,0,28.823483,-46.185799,-0.058031,-0.218538,-0.354681,-0.020972,-0.045666,-0.048302,0.084648,0.093312,0.148186,0.580868,0.469764,0.379796,0.233591,0.206112,0.106871,0.117809,0.187088,0.568526,0.446888,0.348079,0.208406,0.183890,0.088304,0.097342,0.154586,0.630350,0.506827,0.392892,0.235237,0.207486,0.110527,0.121839,0.193488,0.618008,0.483951,0.350828,0.210052,0.185263,0.200000,0.000000,-0.117329,0,0.016667,0,1,scripted_ai
5.478057,5.478057,5.478057,-34.628368,-0.117329,1.200000,0.350628,0.381250,0,28.732351,-46.182331,-0.055185,-0.216613,-0.352771,-0.020277,-0.045696,-0.048337,0.084316,0.092724,0.146641,0.577095,0.467278,0.376997,0.233889,0.205872,0.106538,0.117163,0.185290,0.564608,0.444237,0.350092,0.208642,0.183650,0.088164,0.096956,0.153334,0.626629,0.504282,0.394859,0.235321,0.207133,0.110386,0.121394,0.191982,0.614142,0.481242,0.352497,0.210075,0.184911,0.200000,0.000000,-0.112700,0,0.016667,0,1,scripted_ai
5.480483,5.480483,5.480483,-34.632492,-0.112700,1.200000,0.374670,0.381250,0,28.641195,-46.178474,-0.052488,-0.214866,-0.351037,-0.019615,-0.045763,-0.048396,0.083965,0.092128,0.145123,0.573240,0.464726,0.374183,0.234190,0.205654,0.106187,0.116511,0.183531,0.560612,0.441525,0.352075,0.208884,0.183432,0.087997,0.096553,0.152093,0.622824,0.501674,0.396797,0.235418,0.206732,0.110220,0.120936,0.190501,0.610195,0.478473,0.354144,0.210112,0.184510,0.200000,0.000000,-0.108333,0,0.016667,0,1,scripted_ai
5.482893,5.482893,5.482893,-34.636456,-0.108333,1.200000,0.418029,0.381250,0,28.550016,-46.174232,-0.049929,-0.213286,-0.349467,-0.018982,-0.045868,-0.048477,0.083596,0.091523,0.143626,0.569307,0.462112,0.371354,0.234496,0.205458,0.105819,0.115852,0.181806,0.556542,0.438756,0.352585,0.209133,0.183235,0.087806,0.096132,0.150859,0.328935,0.499006,0.398710,0.235525,0.206360,0.110029,0.120462,0.189040,0.606174,0.475650,0.355774,0.210162,0.184137,0.200000,0.000000,-0.104198,0,0.016667,0,1,scripted_ai
5.485290,5.485290,5.485290,-34.640270,-0.104198,1.200000,0.463159,0.384375,0,28.458817,-46.169609,-0.071805,-0.252545,-0.314997,-0.022532,-0.052591,-0.042606,0.083209,0.090908,0.142147,0.565300,0.459441,0.368512,0.234807,0.205282,0.105431,0.115186,0.180109,0.552403,0.435935,0.349658,0.209389,0.183060,0.087591,0.095694,0.149632,0.323532,0.496282,0.398061,0.235644,0.206015,0.109813,0.119972,0.187594,0.602081,0.472776,0.357390,0.210226,0.183792,0.200000,0.000000,-0.108439,0,0.016667,0,1,scripted_ai
5.487671,5.487671,5.487671,-34.644241,-0.108439,1.200000,0.398926,0.384375,0,28.367598,-46.164604,-0.069283,-0.251260,-0.313151,-0.022057,-0.052816,-0.042616,0.082800,0.090263,0.140614,0.561359,0.456848,0.365710,0.235172,0.205134,0.105022,0.114488,0.178352,0.548323,0.433184,0.346767,0.209696,0.182912,0.087360,0.095233,0.148357,0.318038,0.493633,0.395157,0.235809,0.205690,0.109582,0.119459,0.186096,0.598050,0.469969,0.359160,0.210332,0.183468,0.200000,0.000000,-0.104190,0,0.016667,0,1,scripted_ai
5.490038,5.490038,5.490038,-34.648056,-0.104190,1.200000,0.347386,0.384375,0,28.276361,-46.159222,-0.066901,-0.250145,-0.311463,-0.021612,-0.053082,-0.042648,0.082373,0.089609,0.139099,0.557340,0.454194,0.362893,0.235541,0.205007,0.104595,0.113783,0.176625,0.544171,0.430378,0.343865,0.210009,0.182785,0.087104,0.094756,0.147089,0.312784,0.490925,0.392241,0.235984,0.205393,0.109326,0.118930,0.184614,0.593945,0.467109,0.360913,0.210452,0.183170,0.200000,0.000000,-0.100165,0,0.016667,0,1,scripted_ai
5.492391,5.492391,5.492391,-34.651726,-0.100165,1.200000,0.314866,0.384375,0,28.185110,-46.153465,-0.064645,-0.249188,-0.309922,-0.021197,-0.053386,-0.042700,0.081928,0.088945,0.137600,0.553248,0.451482,0.360063,0.235915,0.204899,0.104150,0.113070,0.174923,0.539950,0.427519,0.340952,0.210329,0.182677,0.086824,0.094261,0.145824,0.307737,0.488161,0.389316,0.236171,0.205122,0.109046,0.118386,0.183147,0.589769,0.464198,0.362651,0.210585,0.182900,0.200000,0.000000,-0.096353,0,0.016667,0,1,scripted_ai
5.494729,5.494729,5.494729,-34.655254,-0.096353,1.200000,0.307487,0.384375,0,28.093845,-46.147343,-0.062514,-0.248387,-0.308524,-0.020810,-0.053730,-0.042772,0.081465,0.088271,0.136115,0.549084,0.448715,0.357221,0.236294,0.204812,0.103687,0.112350,0.173245,0.535661,0.424609,0.338029,0.210656,0.182590,0.086520,0.093748,0.144561,0.302880,0.485344,0.386381,0.236370,0.204878,0.108742,0.117827,0.181691,0.585525,0.461238,0.364374,0.210732,0.182656,0.200000,0.000000,-0.092751,0,0.016667,0,1,scripted_ai
5.497053,5.497053,5.497053,-34.658653,-0.092751,1.200000,0.326982,0.384375,0,28.002569,-46.140862,-0.060497,-0.247732,-0.307259,-0.020449,-0.054112,-0.042863,0.080984,0.087586,0.134641,0.544854,0.445897,0.354366,0.236679,0.204744,0.103206,0.111620,0.171587,0.531310,0.421652,0.335098,0.210991,0.182521,0.086192,0.093219,0.143299,0.298193,0.482477,0.383437,0.236581,0.204658,0.108414,0.117253,0.180245,0.581216,0.458232,0.364169,0.210892,0.182436,0.200000,0.000000,-0.089330,0,0.016667,0,1,scripted_ai
5.499362,5.499362,5.499362,-34.661926,-0.089330,1.200000,0.369140,0.384375,0,27.911282,-46.134026,-0.058588,-0.247220,-0.306124,-0.020115,-0.054532,-0.042973,0.080485,0.086891,0.133175,0.540559,0.443029,0.351501,0.237070,0.204694,0.102707,0.110882,0.169945,0.526897,0.418649,0.332158,0.211333,0.182472,0.085841,0.092673,0.142037,0.293657,0.479561,0.380486,0.236803,0.204463,0.108063,0.116664,0.178807,0.576845,0.455182,0.361144,0.211066,0.182241,0.200000,0.000000,-0.086094,0,0.016667,0,1,scripted_ai
5.501658,5.501658,5.501658,-34.665081,-0.086094,1.200000,0.427324,0.384375,0,27.819983,-46.126842,-0.056782,-0.246845,-0.305110,-0.019806,-0.054991,-0.043101,0.079969,0.086185,0.131717,0.536201,0.440113,0.348625,0.237468,0.204663,0.102191,0.110135,0.168319,0.522426,0.415604,0.329211,0.211684,0.182441,0.085467,0.092110,0.140772,0.289257,0.476600,0.377527,0.237038,0.204292,0.107689,0.116060,0.177375,0.572414,0.452091,0.358113,0.211254,0.182070,0.000000,0.311627,-0.083026,0,0.016667,0,1,scripted_ai
5.415245,5.415245,5.415245,-34.668076,-0.083026,1.200000,0.429191,0.387500,0,27.730143,-46.119484,-0.055106,-0.289905,-0.270347,-0.019528,-0.062808,-0.037678,0.079446,0.085482,0.130291,0.531855,0.437030,0.345785,0.237864,0.204648,0.101669,0.109392,0.166735,0.517971,0.412565,0.326302,0.212034,0.182425,0.085079,0.091543,0.139529,0.581881,0.473642,0.374608,0.237278,0.204144,0.107302,0.115453,0.175973,0.567997,0.449008,0.355125,0.211449,0.181921,0.200000,0.000000,-0.121325,0,0.016667,0,1,scripted_ai
